"vacc_self","vacc_others01","vacc_others02","vacc_others03","vacc_others04","vacc_others05","masks_self","masks_others_never","masks_others_sometimes","masks_others_half","masks_others_often","masks_others_always","testing_self","testing_others_never","testing_others_sometimes","testing_others_half","testing_others_often","testing_others_always"
5,0,0,0,0,100,5,0,0,0,0,100,2,0,100,0,0,0
4,100,0,0,0,0,5,0,0,0,100,0,1,0,0,0,100,0
5,50,0,20,0,30,5,0,15,25,10,50,4,25,75,0,0,0
1,50,30,10,0,10,2,60,10,10,10,10,1,60,10,10,10,10
5,0,10,10,5,75,4,5,10,20,45,20,3,39,50,11,0,0
2,10,30,0,50,10,2,0,70,30,0,0,5,50,0,20,30,0
NA,26,36,37,1,0,3,31,12,9,10,38,2,25,23,33,19,0
5,1,0,0,0,99,5,0,0,0,0,100,2,0,100,0,0,0
4,0,8,9,83,0,5,0,0,0,0,100,2,0,100,0,0,0
NA,6,13,6,45,30,NA,16,37,27,18,2,NA,0,18,31,26,25
3,20,20,20,20,20,5,0,0,20,40,40,1,20,20,20,20,20
2,100,0,0,0,0,5,0,0,0,0,100,1,0,50,30,20,0
1,20,30,5,5,40,5,0,0,0,30,70,1,0,80,20,0,0
5,2,0,0,13,85,4,0,5,10,35,50,4,0,29,10,40,21
1,50,10,5,35,0,4,0,5,50,20,25,2,0,50,20,0,30
4,60,0,20,20,0,4,20,40,0,32,8,3,50,20,20,5,5
NA,20,30,20,10,20,NA,20,20,15,20,25,NA,25,30,25,10,10
NA,10,0,0,70,20,5,0,9,0,50,41,5,0,0,0,20,80
5,10,10,15,30,35,5,2,4,29,40,25,4,3,3,3,71,20
1,89,0,11,0,0,4,0,0,0,88,12,2,0,91,6,3,0
NA,60,10,20,5,5,5,0,0,0,0,100,3,0,0,0,0,100
4,23,47,5,6,19,5,0,0,0,100,0,2,0,100,0,0,0
3,10,20,5,54,11,4,4,7,23,5,61,4,0,0,26,47,27
NA,19,70,11,0,0,3,0,0,11,74,15,3,0,41,0,0,59
3,20,30,20,10,20,4,10,10,10,50,20,4,0,20,20,20,40
5,0,16,30,54,0,4,0,0,25,75,0,5,0,0,0,10,90
3,48,42,10,0,0,NA,100,0,0,0,0,3,100,0,0,0,0
1,100,0,0,0,0,5,0,0,0,0,100,2,0,100,0,0,0
4,21,38,23,14,4,4,4,11,36,42,7,5,1,1,2,51,45
NA,0,10,20,10,60,5,0,0,0,15,85,4,0,0,0,100,0
5,10,18,21,24,27,3,11,21,41,18,9,2,0,24,44,28,4
1,80,10,10,0,0,5,95,5,0,0,0,1,10,30,30,20,10
5,3,3,4,22,68,5,1,4,4,16,75,5,0,4,6,11,79
2,98,2,0,0,0,5,0,0,0,0,100,5,0,0,0,100,0
4,10,10,10,10,60,5,0,0,0,0,100,2,0,100,0,0,0
NA,20,20,14,11,35,NA,5,5,13,30,47,NA,9,13,19,38,21
5,5,5,10,20,60,4,3,8,14,70,5,2,5,85,10,0,0
3,10,10,10,35,35,5,0,0,0,5,95,4,0,0,10,90,0
NA,30,20,3,40,7,NA,20,5,0,75,0,NA,20,10,0,20,50
NA,10,25,25,0,40,NA,0,5,0,70,25,NA,10,10,5,50,25
3,12,24,4,34,26,2,23,13,8,22,34,2,11,25,6,18,40
1,50,30,20,0,0,5,0,0,0,50,50,2,0,100,0,0,0
NA,27,42,21,10,0,NA,31,18,14,22,15,NA,82,14,4,0,0
2,30,30,30,10,0,5,0,0,0,0,100,2,0,100,0,0,0
3,24,35,16,10,15,NA,0,20,30,30,20,2,20,10,25,30,15
1,100,0,0,0,0,2,0,15,10,25,50,NA,100,0,0,0,0
1,100,0,0,0,0,5,0,0,0,0,100,5,0,0,0,0,100
3,63,37,0,0,0,2,24,19,25,10,22,2,33,26,41,0,0
4,20,20,20,20,20,4,0,0,0,0,100,2,20,20,20,20,20
4,10,10,30,20,30,4,0,10,20,60,10,2,0,100,0,0,0
5,0,5,5,0,90,5,0,0,0,0,100,2,0,5,5,50,40
5,0,0,0,0,100,3,0,0,0,100,0,2,0,0,0,100,0
1,20,35,11,10,24,2,0,0,0,27,73,5,0,0,0,50,50
5,5,0,0,0,95,5,0,0,0,0,100,2,0,30,0,50,20
4,0,25,0,75,0,4,0,0,0,30,70,4,0,0,0,100,0
5,10,10,15,13,52,5,3,15,3,14,65,2,0,71,25,4,0
NA,0,0,0,100,0,NA,0,0,0,100,0,NA,0,100,0,0,0
NA,84,0,13,3,0,NA,5,38,33,18,6,1,100,0,0,0,0
5,0,10,20,30,40,5,0,10,20,30,40,3,0,40,40,20,0
4,36,37,17,0,10,4,0,49,31,20,0,4,0,49,33,18,0
5,5,13,37,32,13,5,12,20,26,29,13,2,28,21,9,17,25
5,20,10,20,0,50,5,0,10,10,30,50,3,0,20,50,20,10
NA,10,10,30,20,30,5,10,0,30,20,40,5,0,10,10,20,60
4,10,10,10,50,20,5,0,0,0,30,70,5,50,20,10,10,10
3,0,10,80,10,0,4,0,0,40,60,0,1,0,50,50,0,0
5,20,0,0,80,0,5,0,0,0,20,80,5,0,0,0,10,90
4,0,0,0,0,100,5,0,10,30,30,30,1,90,10,0,0,0
5,80,10,10,0,0,5,0,10,10,20,60,3,0,0,10,30,60
5,60,40,0,0,0,4,10,30,10,0,50,4,10,20,30,40,0
1,5,0,0,0,95,2,2,8,0,0,90,1,1,0,0,5,94
3,20,10,10,20,40,5,0,0,0,0,100,2,0,0,50,50,0
5,21,11,16,29,23,5,0,0,0,1,99,4,0,0,0,43,57
5,10,0,0,90,0,4,0,0,0,100,0,4,0,0,0,50,50
5,20,0,20,0,60,5,0,20,20,30,30,2,20,40,40,0,0
4,0,20,0,80,0,4,0,0,26,74,0,5,0,0,23,0,77
5,10,15,0,0,75,5,0,0,0,25,75,2,0,23,48,29,0
1,50,20,20,10,0,2,10,20,50,20,0,3,50,20,20,10,0
1,50,50,0,0,0,NA,20,25,50,5,0,3,37,46,17,0,0
3,50,25,25,0,0,3,22,21,26,19,12,3,15,29,19,22,15
4,1,14,2,39,44,5,1,3,8,11,77,4,2,9,11,67,11
1,0,100,0,0,0,4,0,0,0,100,0,2,13,87,0,0,0
2,25,22,12,21,20,4,0,2,2,59,37,5,0,49,41,0,10
2,27,11,23,27,12,2,22,16,16,20,26,2,33,53,14,0,0
4,38,26,36,0,0,5,54,28,18,0,0,4,27,19,39,15,0
4,10,10,2,38,40,NA,0,0,0,50,50,3,5,5,20,40,30
NA,0,10,20,10,60,NA,10,10,0,75,5,2,0,0,13,87,0
4,0,0,0,33,67,4,0,0,0,35,65,2,3,37,43,8,9
4,3,1,19,40,37,4,0,0,41,42,17,2,7,15,27,36,15
2,28,14,22,20,16,4,14,23,24,38,1,2,7,9,17,32,35
NA,40,39,21,0,0,NA,26,14,23,18,19,3,37,16,34,0,13
5,30,20,20,0,30,5,20,20,0,20,40,1,30,10,20,40,0
1,10,10,10,30,40,1,5,10,30,30,25,5,5,20,20,35,20
3,37,15,12,21,15,4,10,20,40,20,10,4,80,1,5,5,9
5,20,19,9,42,10,5,0,15,21,2,62,5,0,0,6,37,57
NA,0,25,11,37,27,3,59,40,1,0,0,3,68,32,0,0,0
3,60,20,15,0,5,5,0,0,0,0,100,4,0,0,0,20,80
2,35,10,25,15,15,4,5,30,20,20,25,2,5,50,20,15,10
NA,20,16,7,30,27,3,27,12,13,18,30,4,29,13,7,40,11
4,30,20,10,10,30,4,20,30,20,20,10,4,30,30,30,10,0
3,26,10,14,35,15,3,10,12,23,17,38,3,10,12,18,20,40
4,0,10,30,40,20,4,0,0,33,34,33,3,0,10,20,30,40
4,0,6,16,44,34,5,0,0,0,14,86,1,3,65,25,7,0
5,0,5,10,35,50,4,5,15,20,45,15,4,0,15,20,40,25
2,50,0,29,21,0,4,0,25,0,75,0,2,9,81,0,0,10
4,19,17,20,10,34,4,13,14,16,38,19,3,1,1,52,35,11
5,0,10,25,25,40,NA,0,10,15,25,50,NA,5,0,25,50,20
5,0,0,0,50,50,5,0,0,0,50,50,2,0,50,50,0,0
5,5,10,5,30,50,5,0,5,15,15,65,2,30,64,4,2,0
3,86,0,12,2,0,4,0,0,68,32,0,4,0,0,0,0,100
3,0,0,0,50,50,5,0,0,0,50,50,3,0,25,50,25,0
1,5,0,5,0,90,3,5,0,0,0,95,1,0,100,0,0,0
5,50,10,10,20,10,4,50,20,10,10,10,5,50,20,10,10,10
5,40,20,20,10,10,4,30,30,20,20,0,4,20,20,40,20,0
5,10,10,20,30,30,5,5,25,25,40,5,5,5,20,25,40,10
1,100,0,0,0,0,2,0,0,0,0,100,4,0,0,0,100,0
5,0,0,0,0,100,5,0,0,0,0,100,5,0,0,0,0,100
4,50,16,34,0,0,5,14,31,0,0,55,1,13,87,0,0,0
1,50,45,5,0,0,5,0,0,0,0,100,4,0,0,54,45,1
4,30,45,10,10,5,4,10,20,30,35,5,2,60,25,10,5,0
4,21,15,16,23,25,3,11,31,30,12,16,3,17,12,31,20,20
4,20,30,30,20,0,4,0,0,20,80,0,1,80,20,0,0,0
4,15,20,25,25,15,4,5,15,25,35,20,5,5,10,20,30,35
1,20,22,25,25,8,4,0,12,19,52,17,2,12,30,38,13,7
2,60,15,5,10,10,4,0,0,0,60,40,2,0,100,0,0,0
3,12,41,47,0,0,5,0,0,0,0,100,3,0,0,0,100,0
NA,5,13,5,19,58,NA,6,14,7,20,53,NA,11,5,16,11,57
5,0,0,18,18,64,5,0,0,0,32,68,5,0,0,6,39,55
NA,100,0,0,0,0,5,0,0,0,0,100,1,20,0,0,0,80
5,17,5,19,39,20,5,9,27,27,13,24,3,0,0,0,45,55
4,5,5,5,5,80,5,5,5,5,5,80,3,5,5,5,5,80
4,0,10,20,50,20,5,0,0,20,60,20,1,100,0,0,0,0
1,100,0,0,0,0,5,0,0,0,0,100,2,50,50,0,0,0
5,0,0,0,0,100,5,0,0,0,100,0,1,100,0,0,0,0
5,0,2,3,5,90,4,0,0,4,92,4,4,0,0,0,9,91
2,50,20,25,5,0,5,0,0,0,25,75,4,0,0,0,80,20
4,20,20,25,25,10,5,0,0,0,0,100,1,0,0,0,100,0
1,20,20,10,30,20,3,1,9,15,25,50,5,0,0,0,25,75
5,10,10,10,60,10,4,0,20,30,30,20,2,10,30,30,20,10
4,24,25,51,0,0,3,18,46,36,0,0,3,0,19,55,26,0
2,0,100,0,0,0,4,10,30,40,10,10,1,70,20,10,0,0
2,0,20,10,20,50,4,0,0,10,20,70,3,0,50,50,0,0
5,10,20,0,20,50,4,0,0,30,60,10,2,0,60,20,10,10
5,10,0,0,10,80,5,0,0,0,10,90,3,10,0,0,20,70
1,0,80,10,10,0,2,10,25,45,10,10,2,10,30,30,10,20
2,8,21,53,4,14,4,9,12,3,76,0,5,0,0,25,39,36
2,19,30,17,34,0,5,0,0,0,17,83,4,0,36,0,51,13
5,25,5,30,20,20,5,0,0,20,50,30,5,30,0,10,10,50
4,0,10,30,10,50,5,5,5,44,45,1,5,15,0,0,10,75
3,15,16,32,30,7,4,4,39,48,3,6,1,79,4,7,10,0
5,0,0,0,94,6,5,83,17,0,0,0,5,0,45,29,26,0
5,33,25,10,0,32,NA,0,0,0,16,84,5,0,5,22,32,41
4,68,32,0,0,0,5,0,0,0,0,100,3,0,0,100,0,0
5,6,7,6,27,54,4,5,8,13,30,44,3,7,22,35,25,11
5,8,3,2,40,47,4,1,0,10,79,10,2,0,10,30,60,0
4,20,21,23,19,17,4,0,10,40,35,15,4,0,30,30,20,20
5,10,5,5,5,75,5,0,0,0,10,90,2,0,100,0,0,0
1,20,10,10,30,30,4,0,0,20,40,40,5,0,0,0,40,60
1,25,22,0,3,50,4,0,45,12,43,0,5,36,0,0,0,64
1,91,0,0,0,9,4,5,0,10,85,0,1,100,0,0,0,0
2,24,14,22,15,25,4,25,5,17,41,12,2,18,38,8,20,16
5,0,10,0,31,59,5,0,0,11,6,83,4,26,10,32,0,32
1,100,0,0,0,0,4,0,0,100,0,0,5,0,0,100,0,0
5,5,10,15,20,50,4,0,15,30,45,10,4,0,20,30,40,10
1,65,30,0,0,5,4,1,0,0,89,10,2,1,34,20,30,15
2,10,22,38,22,8,4,0,0,0,10,90,2,25,65,6,4,0
NA,7,23,18,21,31,NA,8,27,13,12,40,5,6,21,15,26,32
2,70,0,30,0,0,5,0,25,0,0,75,4,0,0,30,70,0
NA,30,33,17,13,7,NA,5,20,32,28,15,NA,4,14,24,25,33
1,45,50,0,0,5,3,0,0,50,50,0,5,0,50,50,0,0
5,32,25,25,11,7,NA,14,37,33,15,1,NA,59,25,11,5,0
5,2,4,4,0,90,5,0,0,0,0,100,2,3,8,0,35,54
5,0,0,0,0,100,4,0,0,25,75,0,3,0,50,25,25,0
5,0,0,0,0,100,5,0,0,0,0,100,5,0,0,0,0,100
NA,20,15,22,20,23,NA,22,26,22,23,7,3,35,25,12,26,2
5,40,20,10,0,30,4,10,50,20,15,5,1,70,10,20,0,0
3,27,41,32,0,0,NA,0,28,33,24,15,NA,50,30,20,0,0
5,9,14,19,25,33,4,0,0,17,81,2,5,0,11,19,43,27
2,75,5,5,5,10,3,10,30,30,20,10,4,5,5,15,35,40
NA,20,20,30,30,0,2,5,20,50,25,0,2,50,50,0,0,0
5,5,0,0,50,45,5,0,10,0,0,90,4,0,0,50,50,0
4,10,10,10,50,20,4,5,0,0,45,50,2,0,100,0,0,0
4,35,15,15,5,30,4,0,15,10,75,0,5,15,25,15,30,15
2,25,53,22,0,0,5,0,0,19,81,0,1,0,100,0,0,0
4,10,20,0,60,10,5,10,0,0,80,10,1,50,50,0,0,0
4,8,13,15,56,8,4,6,11,24,49,10,3,12,16,51,12,9
5,0,0,0,16,84,4,0,0,0,50,50,4,0,0,0,50,50
5,5,5,5,25,60,4,0,0,0,100,0,4,0,0,0,100,0
1,95,0,0,0,5,2,95,5,0,0,0,1,0,100,0,0,0
2,50,50,0,0,0,4,1,0,0,99,0,4,0,9,0,91,0
3,65,18,14,3,0,5,0,0,0,36,64,2,0,58,6,10,26
5,60,25,5,5,5,5,0,0,10,15,75,5,5,5,5,35,50
5,5,4,4,46,41,5,0,0,11,31,58,4,5,5,26,57,7
5,20,5,5,10,60,5,0,0,0,10,90,5,0,0,30,0,70
1,30,30,20,20,0,3,0,50,20,20,10,1,30,30,20,20,0
NA,63,37,0,0,0,NA,25,0,19,56,0,3,29,71,0,0,0
5,20,10,15,35,20,5,5,5,10,20,60,3,10,40,20,20,10
4,0,0,0,100,0,4,0,20,0,70,10,4,0,30,0,50,20
NA,25,75,0,0,0,NA,22,0,78,0,0,NA,45,47,8,0,0
4,20,20,35,15,10,3,10,20,20,30,20,2,30,20,10,20,20
1,75,0,15,5,5,1,20,60,10,10,0,2,40,20,30,10,0
1,20,20,10,30,20,2,5,10,10,30,45,2,5,30,20,20,25
4,14,26,34,16,10,4,9,12,15,20,44,1,15,21,19,26,19
5,5,5,25,25,40,5,5,10,10,65,10,2,10,25,15,25,25
NA,8,23,23,19,27,NA,0,0,0,8,92,NA,0,11,19,70,0
4,18,49,19,14,0,4,0,0,30,70,0,4,13,25,48,12,2
5,0,0,0,2,98,5,0,25,0,0,75,4,0,70,0,0,30
1,44,28,12,12,4,2,10,27,26,37,0,1,55,3,14,14,14
5,0,2,0,28,70,5,0,0,5,80,15,4,5,25,20,50,0
5,0,6,8,19,67,5,1,3,5,21,70,5,2,2,3,6,87
4,15,23,21,32,9,4,10,17,13,17,43,2,8,41,15,20,16
3,17,45,37,1,0,3,34,32,17,17,0,3,15,31,41,13,0
5,13,12,12,18,45,5,0,0,0,25,75,5,0,0,0,20,80
4,2,23,39,27,9,5,3,7,9,10,71,5,0,12,22,53,13
3,29,15,14,8,34,4,2,15,35,26,22,2,0,60,30,8,2
1,80,10,10,0,0,3,0,10,20,10,60,3,0,20,20,30,30
1,0,0,100,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5,2,5,10,41,42,5,0,0,1,24,75,2,0,75,20,5,0
5,5,5,50,30,10,5,0,10,30,35,25,5,35,5,5,15,40
5,0,0,0,0,100,5,0,0,0,0,100,2,0,100,0,0,0
5,0,0,0,0,100,5,0,0,0,10,90,2,0,50,30,20,0
4,0,0,0,0,100,5,0,0,0,0,100,1,50,50,0,0,0
1,13,6,9,72,0,1,5,9,60,26,0,1,57,9,9,9,16
4,5,10,15,10,60,5,5,0,0,0,95,1,70,0,0,0,30
1,70,10,10,10,0,4,0,10,10,10,70,4,0,0,0,100,0
5,10,0,10,0,80,4,10,20,20,40,10,5,10,10,10,20,50
NA,96,4,0,0,0,NA,0,1,10,17,72,NA,0,0,0,9,91
5,5,5,0,10,80,4,0,0,5,25,70,1,0,0,20,80,0
5,25,45,5,0,25,4,0,25,0,50,25,2,50,50,0,0,0
5,0,10,0,20,70,4,0,0,0,80,20,3,0,20,40,30,10
2,60,15,5,15,5,5,0,0,0,0,100,4,0,25,35,30,10
4,10,10,30,20,30,5,10,10,30,20,30,2,20,10,20,25,25
1,100,0,0,0,0,2,85,15,0,0,0,1,100,0,0,0,0
2,13,13,65,9,0,5,0,0,0,20,80,5,0,20,34,46,0
4,8,11,26,38,17,3,5,11,47,24,13,4,0,12,33,47,8
5,5,30,7,14,44,5,10,35,20,10,25,5,11,12,15,30,32
1,1,96,1,1,1,4,61,36,3,0,0,5,37,6,3,3,51
4,0,16,29,55,0,3,4,20,51,13,12,4,9,10,24,38,19
NA,100,0,0,0,0,4,4,84,12,0,0,4,0,0,0,100,0
2,70,10,10,5,5,3,0,8,23,36,33,1,44,50,6,0,0
4,12,15,22,25,26,5,4,0,0,56,40,2,8,14,40,20,18
3,60,10,5,20,5,4,5,40,45,5,5,2,10,70,20,0,0
3,14,12,42,10,22,3,25,43,12,12,8,NA,21,15,32,5,27
5,0,5,10,12,73,4,2,8,0,77,13,5,0,15,60,8,17
4,0,0,0,100,0,5,0,0,0,0,100,2,0,100,0,0,0
4,0,10,0,90,0,5,0,0,0,10,90,4,0,0,0,100,0
3,0,50,50,0,0,5,0,0,0,100,0,1,80,0,0,0,20
1,80,5,5,10,0,4,0,20,10,30,40,2,50,30,20,0,0
5,0,50,0,0,50,4,0,0,0,100,0,4,0,0,0,100,0
4,0,5,10,41,44,4,0,8,22,30,40,3,18,15,20,18,29
1,43,10,34,13,0,2,10,45,19,17,9,1,8,7,10,26,49
4,21,26,30,17,6,4,12,21,27,15,25,2,10,13,11,20,46
1,95,0,5,0,0,1,90,10,0,0,0,5,0,0,0,0,100
1,68,8,0,0,24,1,16,7,4,8,65,1,100,0,0,0,0
4,1,4,20,50,25,5,5,10,22,40,23,2,5,51,25,13,6
5,0,0,0,0,100,4,0,0,0,100,0,1,100,0,0,0,0
1,10,0,0,80,10,4,0,0,0,10,90,1,70,30,0,0,0
1,50,15,5,15,15,5,0,20,0,30,50,4,0,15,10,65,10
1,75,15,5,4,1,3,50,10,30,7,3,2,0,100,0,0,0
5,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
1,100,0,0,0,0,3,10,30,60,0,0,2,40,60,0,0,0
1,15,10,50,10,15,2,0,10,20,60,10,2,0,50,10,10,30
2,6,15,73,6,0,4,0,4,10,81,5,4,0,3,14,47,36
NA,70,27,1,2,0,1,0,0,0,22,78,1,28,0,0,0,72
5,0,0,0,0,100,5,0,0,0,0,100,1,50,50,0,0,0
4,10,20,30,30,10,4,0,0,40,40,20,2,80,20,0,0,0
5,0,0,1,31,68,5,0,0,0,0,100,3,0,0,0,0,100
3,46,46,0,8,0,4,0,0,0,75,25,3,0,0,96,4,0
3,36,28,36,0,0,3,24,68,8,0,0,3,14,29,45,12,0
4,20,20,20,24,16,5,0,0,0,77,23,5,0,3,18,18,61
4,15,19,29,22,15,4,3,13,33,37,14,3,0,6,15,38,41
5,5,8,17,35,35,4,4,28,31,37,0,2,6,74,15,5,0
NA,72,16,12,0,0,NA,2,0,0,0,98,4,12,16,22,28,22
3,22,28,47,2,1,5,0,24,46,0,30,3,0,16,34,50,0
2,32,32,32,2,2,4,5,10,22,55,8,1,14,47,19,16,4
5,5,10,5,30,50,5,0,10,10,40,40,2,20,20,20,20,20
5,40,20,0,40,0,5,0,0,0,40,60,4,0,0,0,100,0
3,70,15,7,8,0,5,0,2,8,15,75,5,0,5,5,0,90
4,3,6,17,42,32,4,4,15,38,31,12,2,2,55,29,11,3
5,8,8,11,17,56,5,0,0,0,100,0,2,0,45,55,0,0
4,12,18,17,43,10,4,0,2,9,39,50,4,0,0,17,47,36
4,50,5,10,30,5,3,10,20,30,5,35,3,10,5,35,50,0
1,100,0,0,0,0,4,0,0,0,100,0,NA,50,0,50,0,0
3,31,15,7,37,10,3,10,15,16,24,35,3,9,4,87,0,0
4,33,16,17,17,17,3,33,15,10,22,20,3,2,14,35,32,17
1,80,5,10,2,3,4,0,5,20,74,1,5,0,0,5,25,70
1,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0
5,99,1,0,0,0,4,34,20,46,0,0,5,63,37,0,0,0
5,0,0,5,15,80,NA,0,0,0,0,100,2,0,20,20,30,30
4,3,2,0,92,3,4,0,0,1,99,0,2,0,100,0,0,0
4,50,0,0,40,10,5,0,0,0,50,50,2,0,100,0,0,0
5,18,29,10,21,22,3,16,10,23,21,30,3,24,21,6,11,38
4,5,3,6,33,53,3,0,11,12,15,62,1,64,21,11,4,0
1,19,24,32,25,0,3,0,16,33,22,29,1,28,0,0,28,44
4,20,10,10,30,30,4,0,20,20,50,10,3,0,0,25,25,50
5,0,0,0,0,100,4,0,0,0,100,0,2,0,0,10,15,75
5,0,0,0,0,100,NA,0,0,0,0,100,2,0,50,50,0,0
2,50,20,10,10,10,4,10,15,15,20,40,4,0,10,15,25,50
5,0,0,0,0,100,5,0,0,0,0,100,1,0,0,0,0,100
3,18,18,18,46,0,4,9,13,32,46,0,2,0,16,25,37,22
2,30,10,40,5,15,5,0,0,0,60,40,3,0,100,0,0,0
4,5,5,5,15,70,3,5,10,25,30,30,3,5,15,15,35,30
5,10,10,20,25,35,4,3,27,30,35,5,5,0,10,20,50,20
4,0,0,0,85,15,4,0,0,0,95,5,1,60,40,0,0,0
1,80,10,6,3,1,5,5,5,5,5,80,5,98,1,1,0,0
1,39,13,48,0,0,5,2,0,4,44,50,1,42,58,0,0,0
1,15,35,50,0,0,1,35,61,4,0,0,1,100,0,0,0,0
1,100,0,0,0,0,4,0,19,50,20,11,4,5,0,16,36,43
1,50,10,10,10,20,4,10,10,60,10,10,3,30,50,10,10,0
4,27,29,17,20,7,3,2,3,35,60,0,3,41,8,51,0,0
NA,96,4,0,0,0,5,94,6,0,0,0,5,87,13,0,0,0
5,15,10,10,24,41,5,0,13,18,11,58,1,11,11,15,19,44
4,5,15,50,30,0,4,0,25,25,50,0,5,0,0,0,100,0
5,25,0,50,0,25,5,5,0,0,80,15,3,50,25,25,0,0
4,53,47,0,0,0,4,50,29,0,21,0,1,44,12,44,0,0
1,100,0,0,0,0,4,0,0,0,100,0,2,26,74,0,0,0
5,0,0,0,0,100,3,0,0,100,0,0,2,0,100,0,0,0
3,27,0,73,0,0,NA,24,28,31,17,0,3,21,37,42,0,0
5,18,8,0,11,63,2,78,22,0,0,0,2,0,100,0,0,0
5,2,4,7,11,76,5,2,2,0,4,92,5,2,2,0,10,86
3,80,0,0,20,0,4,38,0,26,36,0,3,26,29,14,23,8
2,60,20,10,5,5,4,85,15,0,0,0,2,75,25,0,0,0
3,0,100,0,0,0,4,0,0,0,100,0,1,100,0,0,0,0
3,0,0,100,0,0,5,0,0,0,100,0,5,0,0,0,0,100
3,100,0,0,0,0,5,0,0,0,0,100,5,0,0,100,0,0
5,0,0,20,25,55,5,0,2,8,35,55,3,0,8,15,27,50
5,25,7,12,43,13,4,14,12,0,22,52,2,0,0,0,0,0
1,14,25,22,23,16,3,6,21,22,29,22,3,24,13,20,7,36
5,0,1,3,6,90,4,0,0,0,100,0,3,0,0,0,63,37
1,80,0,0,0,20,2,0,0,50,0,50,1,80,0,20,0,0
4,0,0,0,59,41,5,0,0,0,44,56,2,85,15,0,0,0
5,0,10,5,22,63,5,0,0,0,22,78,2,16,84,0,0,0
1,98,2,0,0,0,NA,0,0,0,0,100,1,0,0,1,99,0
5,0,0,6,36,58,5,0,0,0,31,69,5,0,0,0,50,50
NA,30,30,30,10,0,4,10,10,30,30,20,5,60,10,10,10,10
5,10,15,5,50,20,5,0,0,0,0,100,1,80,0,0,5,15
NA,100,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0
5,0,5,5,0,90,4,0,0,0,100,0,5,0,0,50,0,50
3,31,24,23,13,9,5,0,0,0,0,100,2,14,69,17,0,0
5,0,23,0,0,77,4,0,0,0,29,71,3,0,0,0,24,76
4,0,0,0,15,85,5,0,0,0,18,82,NA,0,69,31,0,0
5,0,0,5,50,45,4,0,0,0,36,64,2,0,0,100,0,0
5,0,0,0,83,17,5,0,0,0,30,70,3,0,0,0,70,30
4,25,15,15,30,15,4,0,0,40,50,10,2,0,40,30,20,10
2,0,50,14,22,14,4,0,14,41,45,0,2,0,100,0,0,0
4,2,3,5,5,85,NA,1,2,2,20,75,NA,0,15,5,10,70
5,12,18,17,16,37,5,0,6,8,22,64,2,15,42,20,18,5
1,100,0,0,0,0,1,75,25,0,0,0,1,90,10,0,0,0
5,25,10,5,0,60,4,0,5,10,75,10,5,0,0,30,30,40
4,11,18,24,16,31,3,25,22,19,21,13,2,20,16,13,18,33
3,18,26,26,14,16,3,20,19,32,11,18,3,13,28,20,16,23
4,25,25,10,20,20,3,0,25,25,25,25,2,25,25,50,0,0
4,3,20,26,26,25,5,0,21,31,42,6,2,8,56,29,7,0
4,2,5,5,50,38,NA,0,0,0,0,100,5,0,0,0,50,50
1,60,10,20,10,0,3,0,30,30,40,0,3,20,10,60,10,0
4,0,0,0,100,0,5,0,0,0,0,100,1,50,50,0,0,0
5,20,20,20,20,20,4,10,0,25,35,30,2,10,80,10,0,0
4,10,20,10,20,40,5,11,23,5,27,34,3,49,20,14,9,8
5,30,10,20,20,20,5,0,20,10,30,40,4,0,10,30,40,20
1,5,15,50,20,10,2,2,5,33,30,30,1,10,10,0,0,80
4,44,43,13,0,0,3,32,31,32,5,0,5,38,28,28,6,0
2,100,0,0,0,0,5,0,0,0,100,0,2,0,0,100,0,0
3,0,4,96,0,0,5,0,0,0,0,100,1,0,100,0,0,0
2,86,9,0,0,5,4,0,25,51,0,24,3,15,34,0,10,41
5,0,10,30,0,60,5,0,0,0,50,50,4,0,0,80,20,0
2,0,100,0,0,0,5,0,0,0,100,0,2,0,100,0,0,0
5,1,0,0,0,99,5,0,0,0,1,99,3,10,25,50,15,0
1,47,23,6,17,7,3,0,0,0,100,0,4,14,60,16,10,0
3,41,48,11,0,0,4,11,5,19,25,40,3,15,13,37,35,0
4,65,35,0,0,0,4,96,4,0,0,0,5,8,92,0,0,0
5,20,20,20,10,30,5,0,20,20,10,50,2,0,90,10,0,0
4,0,0,0,0,100,5,0,0,0,100,0,1,0,15,0,61,24
3,31,16,7,34,12,4,4,17,33,40,6,2,14,74,12,0,0
5,20,20,10,30,20,4,20,20,10,20,30,2,20,20,20,20,20
4,0,0,0,100,0,5,0,0,0,100,0,3,0,50,50,0,0
4,10,10,20,39,21,5,0,0,33,41,26,2,12,68,20,0,0
4,4,14,23,54,5,5,0,0,0,8,92,4,0,0,0,100,0
4,14,7,10,42,27,NA,17,19,18,30,16,2,11,74,10,2,3
5,0,20,20,30,30,5,20,20,20,20,20,5,40,0,0,0,60
5,12,12,13,38,25,5,6,9,12,28,45,3,25,17,18,21,19
3,75,0,20,5,0,5,0,0,0,20,80,5,0,0,0,0,100
NA,100,0,0,0,0,5,100,0,0,0,0,NA,50,50,0,0,0
2,10,50,30,10,0,5,0,0,10,80,10,2,10,50,10,20,10
